--stream stream-by-wavelet-norm-miranda-viscosity.txt
--stream-type by_wavelet_norm
--subsampling-factor 64
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 4 4 1

Bytes Errors 2448
0.00694444 19.1296
0.0138889 17.6219
0.0208333 16.7168
0.0277778 16.2367
0.0347222 16.222
0.0416667 16.222
0.0486111 16.222
0.0555556 16.222
0.0625 16.222
0.0694444 8.16897
0.0763889 6.21306
0.0833333 7.77707
0.0902778 7.77468
0.0972222 7.77468
0.104167 7.7634
0.111111 6.70098
0.118056 2.63597
0.125 4.52594
0.131944 4.52594
0.138889 4.52594
0.145833 4.52594
0.152778 4.52594
0.159722 4.52594
0.166667 4.52594
0.173611 4.52594
0.180556 4.52594
0.1875 4.52594
0.194444 4.52594
0.201389 4.52594
0.208333 4.52594
0.215278 4.52594
0.222222 4.52594
0.229167 4.52594
0.236111 4.52594
0.243056 4.52594
0.25 4.52594
0.256944 4.52594
0.263889 4.52594
0.270833 4.49614
0.277778 4.49811
0.284722 4.50571
0.291667 4.5053
0.298611 3.73499
0.305556 1.02072
0.3125 2.81718
0.319444 2.81718
0.326389 2.81718
0.333333 2.81718
0.340278 2.81718
0.347222 2.81718
0.354167 2.81718
0.361111 2.81718
0.368056 2.81718
0.375 2.81718
0.381944 2.81718
0.388889 2.81718
0.395833 2.81718
0.402778 2.81718
0.409722 2.81718
0.416667 2.81718
0.423611 2.81718
0.430556 2.81718
0.4375 2.81718
0.444444 2.81718
0.451389 2.81718
0.458333 2.81718
0.465278 2.81718
0.472222 2.81718
0.479167 2.81718
0.486111 2.81718
0.493056 2.81718
0.5 2.81718
0.506944 2.81718
0.513889 2.81718
0.520833 2.81718
0.527778 2.81718
0.534722 2.81718
0.541667 2.81718
0.548611 2.81718
0.555556 2.81718
0.5625 2.81718
0.569444 2.81718
0.576389 2.81718
0.583333 2.81718
0.590278 2.81718
0.597222 2.81718
0.604167 2.81718
0.611111 2.81718
0.618056 2.81718
0.625 2.81718
0.631944 2.81718
0.638889 2.81718
0.645833 2.81718
0.652778 2.81718
0.659722 2.81718
0.666667 2.81718
0.673611 2.81718
0.680556 2.81718
0.6875 2.81718
0.694444 2.81718
0.701389 2.81718
0.708333 2.81718
0.715278 2.81718
0.722222 2.81718
0.729167 2.81718
