--stream stream-by-wavelet-norm-miranda-viscosity.txt
--stream-type by_wavelet_norm
--subsampling-factor 64
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 4 4 1

Bytes Errors 2448
0.00694444 12.5844
0.0138889 12.6783
0.0208333 12.942
0.0277778 13.4458
0.0347222 14.049
0.0416667 14.049
0.0486111 14.049
0.0555556 14.049
0.0625 14.049
0.0694444 15.4303
0.0763889 16.9592
0.0833333 17.9684
0.0902778 17.9671
0.0972222 17.9671
0.104167 17.9593
0.111111 18.2257
0.118056 19.5272
0.125 21.365
0.131944 21.365
0.138889 21.365
0.145833 21.365
0.152778 21.365
0.159722 21.365
0.166667 21.365
0.173611 21.365
0.180556 21.365
0.1875 21.365
0.194444 21.365
0.201389 21.365
0.208333 21.365
0.215278 21.365
0.222222 21.365
0.229167 21.365
0.236111 21.365
0.243056 21.365
0.25 21.365
0.256944 21.365
0.263889 21.365
0.270833 21.3931
0.277778 21.4516
0.284722 21.5463
0.291667 21.6589
0.298611 22.045
0.305556 22.8862
0.3125 23.9057
0.319444 23.9057
0.326389 23.9057
0.333333 23.9057
0.340278 23.9057
0.347222 23.9057
0.354167 23.9057
0.361111 23.9057
0.368056 23.9057
0.375 23.9057
0.381944 23.9057
0.388889 23.9057
0.395833 23.9057
0.402778 23.9057
0.409722 23.9057
0.416667 23.9057
0.423611 23.9057
0.430556 23.9057
0.4375 23.9057
0.444444 23.9057
0.451389 23.9057
0.458333 23.9057
0.465278 23.9057
0.472222 23.9057
0.479167 23.9057
0.486111 23.9057
0.493056 23.9057
0.5 23.9057
0.506944 23.9057
0.513889 23.9057
0.520833 23.9057
0.527778 23.9057
0.534722 23.9057
0.541667 23.9057
0.548611 23.9057
0.555556 23.9057
0.5625 23.9057
0.569444 23.9057
0.576389 23.9057
0.583333 23.9057
0.590278 23.9057
0.597222 23.9057
0.604167 23.9057
0.611111 23.9057
0.618056 23.9057
0.625 23.9057
0.631944 23.9057
0.638889 23.9057
0.645833 23.9057
0.652778 23.9057
0.659722 23.9057
0.666667 23.9057
0.673611 23.9057
0.680556 23.9057
0.6875 23.9057
0.694444 23.9057
0.701389 23.9057
0.708333 23.9057
0.715278 23.9057
0.722222 23.9057
0.729167 23.9057
0.736111 23.9057
0.743056 23.9057
0.75 23.9057
0.756944 23.9057
