--stream .\stream-histogram-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 16.5484
0.0138889 13.7626
0.0208333 9.57297
0.0277778 7.73921
0.0347222 6.48826
0.0416667 5.39255
0.0486111 4.88637
0.0555556 3.51288
0.0625 1.44202
0.0694444 1.49799
0.0763889 1.58983
0.0833333 1.21168
0.0902778 0.996229
0.0972222 0.923455
0.104167 0.871358
0.111111 0.857578
0.118056 0.807997
0.125 0.830892
0.131944 0.860575
0.138889 0.992222
0.145833 0.778239
0.152778 0.896627
0.159722 0.839701
0.166667 0.798408
0.173611 0.764513
0.180556 0.73464
0.1875 0.682963
0.194444 0.671495
0.201389 0.637085
0.208333 0.591071
0.215278 0.558973
0.222222 0.583727
0.229167 0.526944
0.236111 0.485562
0.243056 0.475226
0.25 0.451219
0.256944 0.416178
0.263889 0.418599
0.270833 0.450148
0.277778 0.401455
0.284722 0.377869
0.291667 0.36693
0.298611 0.358819
0.305556 0.36145
0.3125 0.355001
0.319444 0.36008
0.326389 0.331787
0.333333 0.331529
0.340278 0.329942
0.347222 0.318644
0.354167 0.311259
0.361111 0.310303
0.368056 0.334235
0.375 0.326822
0.381944 0.316413
0.388889 0.311699
0.395833 0.308492
0.402778 0.301771
0.409722 0.298523
0.416667 0.285387
0.423611 0.281386
0.430556 0.281386
0.4375 0.278185
0.444444 0.273919
0.451389 0.264879
0.458333 0.263305
0.465278 0.262126
0.472222 0.254415
0.479167 0.254415
0.486111 0.247457
0.493056 0.247457
0.5 0.241075
0.506944 0.23348
0.513889 0.236688
0.520833 0.231533
0.527778 0.22939
0.534722 0.220906
0.541667 0.218763
0.548611 0.217136
0.555556 0.216024
0.5625 0.215339
0.569444 0.213901
0.576389 0.211283
0.583333 0.207248
0.590278 0.206048
0.597222 0.203606
0.604167 0.203606
0.611111 0.199537
0.618056 0.198547
0.625 0.199788
0.631944 0.192864
0.638889 0.187554
0.645833 0.187405
0.652778 0.18573
0.659722 0.181579
0.666667 0.179199
0.673611 0.178819
0.680556 0.174099
0.6875 0.170783
0.694444 0.165676
0.701389 0.16253
0.708333 0.15943
0.715278 0.157281
0.722222 0.157464
0.729167 0.154358
0.736111 0.154175
0.743056 0.152567
0.75 0.150065
0.756944 0.146905
0.763889 0.146233
0.770833 0.142632
0.777778 0.140482
0.784722 0.135912
0.791667 0.139255
0.798611 0.138428
0.805556 0.137926
0.8125 0.132053
0.819444 0.130168
0.826389 0.130425
0.833333 0.125183
0.840278 0.121657
0.847222 0.121657
0.854167 0.117852
0.861111 0.11516
0.868056 0.11516
0.875 0.110121
0.881944 0.11046
0.888889 0.10753
0.895833 0.107076
0.902778 0.104926
0.909722 0.104255
0.916667 0.103183
0.923611 0.0993313
0.930556 0.0984904
0.9375 0.0984904
0.944444 0.0940008
0.951389 0.0929972
0.958333 0.091417
0.965278 0.091417
0.972222 0.0882432
0.979167 0.0875176
0.986111 0.0871378
0.993056 0.0838555
1 0.0777316
1.00694 0.0760904
1.01389 0.0795965
1.02083 0.0804103
1.02778 0.0767821
1.03472 0.075609
1.04167 0.0746392
1.04861 0.0728488
1.05556 0.0726454
1.0625 0.0718112
1.06944 0.0699531
1.07639 0.0693223
1.08333 0.0664672
1.09028 0.0653346
1.09722 0.0679727
1.10417 0.0668469
1.11111 0.0672471
1.11806 0.0667384
1.125 0.0667384
1.13194 0.0671318
1.13889 0.0682033
1.14583 0.0677829
1.15278 0.0677829
1.15972 0.0676811
1.16667 0.0678303
1.17361 0.0675252
1.18056 0.0675252
1.1875 0.0670098
1.19444 0.0670098
1.20139 0.066786
1.20833 0.066786
1.21528 0.0667859
1.22222 0.0667724
1.22917 0.067125
1.23611 0.0679118
1.24306 0.0680134
1.25 0.0680134
1.25694 0.0649413
1.26389 0.0644192
1.27083 0.0653075
1.27778 0.0651855
1.28472 0.0647243
1.29167 0.0641479
1.29861 0.0627713
1.30556 0.0625881
1.3125 0.0611233
1.31944 0.0606282
1.32639 0.0606282
