--stream stream-histogram-greedy-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 18.2896
0.0138889 15.0611
0.0208333 12.2021
0.0277778 10.1738
0.0347222 7.85621
0.0416667 7.03019
0.0486111 6.35699
0.0555556 2.36002
0.0625 4.52922
0.0694444 1.64085
0.0763889 2.48917
0.0833333 1.95652
0.0902778 1.53436
0.0972222 1.55769
0.104167 1.51828
0.111111 1.69438
0.118056 1.55739
0.125 1.445
0.131944 1.31922
0.138889 1.24554
0.145833 1.15374
0.152778 1.0823
0.159722 1.03583
0.166667 1.07007
0.173611 1.00879
0.180556 0.983181
0.1875 0.90804
0.194444 0.845479
0.201389 0.839952
0.208333 0.821872
0.215278 0.736498
0.222222 0.696282
0.229167 0.703654
0.236111 0.673686
0.243056 0.614766
0.25 0.561693
0.256944 0.53595
0.263889 0.520983
0.270833 0.50594
0.277778 0.515997
0.284722 0.472941
0.291667 0.489787
0.298611 0.516723
0.305556 0.466119
0.3125 0.450588
0.319444 0.431186
0.326389 0.414435
0.333333 0.40332
0.340278 0.390991
0.347222 0.385091
0.354167 0.380161
0.361111 0.372864
0.368056 0.375291
0.375 0.372599
0.381944 0.370165
0.388889 0.365288
0.395833 0.352756
0.402778 0.346415
0.409722 0.343865
0.416667 0.332485
0.423611 0.318292
0.430556 0.316481
0.4375 0.308098
0.444444 0.303168
0.451389 0.306851
0.458333 0.301378
0.465278 0.292189
0.472222 0.284851
0.479167 0.274068
0.486111 0.27476
0.493056 0.273586
0.5 0.274027
0.506944 0.267395
0.513889 0.262037
0.520833 0.261027
0.527778 0.260247
0.534722 0.260071
0.541667 0.256117
0.548611 0.258457
0.555556 0.253167
0.5625 0.253567
0.569444 0.251953
0.576389 0.251437
0.583333 0.24608
0.590278 0.247294
0.597222 0.243184
0.604167 0.242167
0.611111 0.239583
0.618056 0.238118
0.625 0.238118
0.631944 0.232334
0.638889 0.227837
0.645833 0.221639
0.652778 0.221334
0.659722 0.224603
0.666667 0.223253
0.673611 0.220683
0.680556 0.219564
0.6875 0.215067
0.694444 0.212402
0.701389 0.213087
0.708333 0.212653
0.715278 0.207485
0.722222 0.207485
0.729167 0.201212
0.736111 0.200805
0.743056 0.199158
0.75 0.197727
0.756944 0.195434
0.763889 0.190219
0.770833 0.190219
0.777778 0.189656
0.784722 0.182556
0.791667 0.182414
0.798611 0.175442
0.805556 0.169047
0.8125 0.166524
0.819444 0.162448
0.826389 0.162448
0.833333 0.156142
0.840278 0.156142
0.847222 0.153368
0.854167 0.151625
0.861111 0.14858
0.868056 0.145603
0.875 0.145603
0.881944 0.14131
0.888889 0.139947
0.895833 0.139655
0.902778 0.134745
0.909722 0.135945
0.916667 0.13562
0.923611 0.134962
0.930556 0.127462
0.9375 0.127
0.944444 0.125217
0.951389 0.123359
0.958333 0.123949
0.965278 0.121758
0.972222 0.116129
0.979167 0.112745
0.986111 0.112745
0.993056 0.107245
1 0.107483
1.00694 0.103658
1.01389 0.10239
1.02083 0.100301
1.02778 0.0985446
1.03472 0.0991279
1.04167 0.0974053
1.04861 0.0963134
1.05556 0.0937702
1.0625 0.0909423
1.06944 0.0892536
1.07639 0.0872396
1.08333 0.0872396
1.09028 0.0848321
1.09722 0.0839911
1.10417 0.0801594
1.11111 0.0800441
1.11806 0.0807087
1.125 0.0803222
1.13194 0.0803222
1.13889 0.0784233
1.14583 0.0783623
1.15278 0.0783623
1.15972 0.0768568
1.16667 0.0755004
1.17361 0.0723468
1.18056 0.0723468
1.1875 0.0695327
1.19444 0.0696275
1.20139 0.0696275
1.20833 0.0690442
1.21528 0.0694512
1.22222 0.0663858
1.22917 0.063863
1.23611 0.0630017
1.24306 0.0628797
1.25 0.0631781
1.25694 0.0631781
1.26389 0.0602212
1.27083 0.059794
1.27778 0.0576714
1.28472 0.0567491
1.29167 0.0551757
1.29861 0.0551757
1.30556 0.0549723
1.3125 0.0542942
1.31944 0.0536973
1.32639 0.0532295
1.33333 0.0524088
1.34028 0.0510728
1.34722 0.051066
