--stream stream-histogram-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity histogram
--histogram-dist emd
--num-bins 256
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 18.7939
0.0138889 18.6566
0.0208333 18.6459
0.0277778 18.6454
0.0347222 16.0325
0.0416667 16.2336
0.0486111 16.2645
0.0555556 16.2658
0.0625 16.1481
0.0694444 14.4049
0.0763889 14.371
0.0833333 14.3675
0.0902778 14.1657
0.0972222 12.3142
0.104167 12.5208
0.111111 12.5286
0.118056 12.5293
0.125 10.4722
0.131944 10.3368
0.138889 10.3318
0.145833 10.3313
0.152778 8.24506
0.159722 8.35653
0.166667 8.38784
0.173611 8.38973
0.180556 7.34063
0.1875 5.4717
0.194444 5.425
0.201389 5.41776
0.208333 4.68475
0.215278 2.99972
0.222222 3.09135
0.229167 3.10005
0.236111 3.10056
0.243056 1.33589
0.25 1.4548
0.256944 1.45978
0.263889 1.4602
0.270833 1.42415
0.277778 1.39074
0.284722 1.39009
0.291667 1.39016
0.298611 1.39019
0.305556 1.34746
0.3125 1.34233
0.319444 1.34284
0.326389 1.3428
0.333333 1.31939
0.340278 1.30862
0.347222 1.30842
0.354167 1.30844
0.361111 1.27136
0.368056 1.26343
0.375 1.26285
0.381944 1.26284
0.388889 1.22208
0.395833 1.19472
0.402778 1.19501
0.409722 1.19494
0.416667 1.19493
0.423611 1.15675
0.430556 1.15401
0.4375 1.15415
0.444444 1.15417
0.451389 1.05258
0.458333 1.0541
0.465278 1.05417
0.472222 1.05427
0.479167 1.00117
0.486111 0.986321
0.493056 0.985941
0.5 0.985961
0.506944 0.959119
0.513889 0.939907
0.520833 0.937025
0.527778 0.937127
0.534722 0.937154
0.541667 0.868835
0.548611 0.867323
0.555556 0.867513
0.5625 0.867553
0.569444 0.789347
0.576389 0.798278
0.583333 0.798671
0.590278 0.798719
0.597222 0.771925
0.604167 0.750746
0.611111 0.750413
0.618056 0.750339
0.625 0.722609
0.631944 0.701382
0.638889 0.699673
0.645833 0.699666
0.652778 0.699619
0.659722 0.646457
0.666667 0.641941
0.673611 0.641703
0.680556 0.64173
0.6875 0.594082
0.694444 0.588006
0.701389 0.58806
0.708333 0.588094
0.715278 0.51003
0.722222 0.49802
0.729167 0.496365
0.736111 0.496379
0.743056 0.41788
0.75 0.41177
0.756944 0.412177
0.763889 0.41215
0.770833 0.41215
0.777778 0.343845
0.784722 0.347195
0.791667 0.347229
0.798611 0.347283
0.805556 0.33945
0.8125 0.334737
0.819444 0.334683
0.826389 0.334628
0.833333 0.323852
0.840278 0.320115
0.847222 0.319851
0.854167 0.319892
0.861111 0.319912
0.868056 0.311822
0.875 0.310744
0.881944 0.310784
0.888889 0.310811
0.895833 0.303087
0.902778 0.302721
0.909722 0.302653
0.916667 0.302605
0.923611 0.294278
0.930556 0.289815
0.9375 0.289707
0.944444 0.289727
0.951389 0.283725
0.958333 0.273681
0.965278 0.273722
0.972222 0.273763
0.979167 0.270345
0.986111 0.259691
0.993056 0.260206
1 0.259888
1.00694 0.259854
1.01389 0.25082
1.02083 0.249112
1.02778 0.249172
1.03472 0.249138
1.04167 0.237569
1.04861 0.235847
1.05556 0.235629
1.0625 0.23565
1.06944 0.235372
1.07639 0.234571
1.08333 0.234775
1.09028 0.234727
1.09722 0.234734
1.10417 0.22914
1.11111 0.229329
1.11806 0.229268
1.125 0.229255
1.13194 0.228237
1.13889 0.227803
1.14583 0.227946
1.15278 0.227959
1.15972 0.227512
1.16667 0.227241
1.17361 0.227091
1.18056 0.227078
1.1875 0.227078
1.19444 0.223897
1.20139 0.224501
1.20833 0.224528
1.21528 0.224535
1.22222 0.22172
1.22917 0.221198
1.23611 0.221178
1.24306 0.221164
1.25 0.217638
1.25694 0.218526
1.26389 0.218323
1.27083 0.218397
1.27778 0.218336
1.28472 0.216939
1.29167 0.216932
1.29861 0.216851
1.30556 0.216851
1.3125 0.212572
1.31944 0.21306
1.32639 0.213047
1.33333 0.21304
1.34028 0.211629
1.34722 0.211317
1.35417 0.211432
1.36111 0.211405
1.36806 0.20916
1.375 0.209805
