--stream stream-rmse-greedy-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 12.9307
0.0138889 13.3931
0.0208333 13.8102
0.0277778 15.091
0.0347222 15.6395
0.0416667 16.5252
0.0486111 18.324
0.0555556 19.7112
0.0625 21.3829
0.0694444 22.1882
0.0763889 23.1286
0.0833333 23.3955
0.0902778 23.6088
0.0972222 23.697
0.104167 23.7806
0.111111 24.0829
0.118056 24.1284
0.125 24.221
0.131944 24.6612
0.138889 24.6906
0.145833 24.9071
0.152778 25.0804
0.159722 25.5258
0.166667 25.9401
0.173611 26.0332
0.180556 26.1811
0.1875 26.2845
0.194444 26.3845
0.201389 26.5893
0.208333 26.6469
0.215278 27.0503
0.222222 27.2119
0.229167 27.7749
0.236111 28.2272
0.243056 28.7436
0.25 29.269
0.256944 29.624
0.263889 29.9487
0.270833 30.299
0.277778 30.6179
0.284722 31.0114
0.291667 31.3899
0.298611 31.5784
0.305556 31.6191
0.3125 31.8138
0.319444 31.8739
0.326389 31.9204
0.333333 31.9604
0.340278 31.9858
0.347222 32.0854
0.354167 32.2213
0.361111 32.3419
0.368056 32.397
0.375 32.426
0.381944 32.5827
0.388889 32.6349
0.395833 32.8134
0.402778 32.8088
0.409722 32.8871
0.416667 33.101
0.423611 33.1443
0.430556 33.1909
0.4375 33.3444
0.444444 33.3956
0.451389 33.5039
0.458333 33.5148
0.465278 33.5652
0.472222 33.667
0.479167 33.6954
0.486111 33.8401
0.493056 33.8794
0.5 34.0928
0.506944 34.1442
0.513889 34.2324
0.520833 34.2397
0.527778 34.3042
0.534722 34.4742
0.541667 34.6707
0.548611 34.8063
0.555556 34.8386
0.5625 34.9109
0.569444 34.9221
0.576389 34.9593
0.583333 34.9593
0.590278 34.9914
0.597222 35.0468
0.604167 35.1503
0.611111 35.1517
0.618056 35.253
0.625 35.2588
0.631944 35.3283
0.638889 35.3443
0.645833 35.3607
0.652778 35.4006
0.659722 35.5101
0.666667 35.5152
0.673611 35.6131
0.680556 35.6131
0.6875 35.6406
0.694444 35.6578
0.701389 35.6774
0.708333 35.6916
0.715278 35.6916
0.722222 35.7447
0.729167 35.8082
0.736111 35.8433
0.743056 35.9105
0.75 35.9105
0.756944 35.9813
0.763889 35.9885
0.770833 36.0165
0.777778 36.0233
0.784722 36.062
0.791667 36.0866
0.798611 36.159
0.805556 36.159
0.8125 36.1748
0.819444 36.2075
0.826389 36.2095
0.833333 36.2591
0.840278 36.3557
0.847222 36.4717
0.854167 36.5532
0.861111 36.6303
0.868056 36.6749
0.875 36.6749
0.881944 36.6781
0.888889 36.7019
0.895833 36.7363
0.902778 36.7363
0.909722 36.7702
0.916667 36.7921
0.923611 36.7982
0.930556 36.9036
0.9375 36.9262
0.944444 36.9727
0.951389 36.9727
0.958333 37.0075
0.965278 37.0288
0.972222 37.0497
0.979167 37.0537
0.986111 37.072
0.993056 37.1079
1 37.125
1.00694 37.1275
1.01389 37.1985
1.02083 37.2043
1.02778 37.2992
1.03472 37.3972
1.04167 37.51
1.04861 37.51
1.05556 37.5947
1.0625 37.7247
1.06944 37.8603
1.07639 37.9958
1.08333 38.0994
1.09028 38.0994
1.09722 38.1177
1.10417 38.158
1.11111 38.2945
1.11806 38.4314
1.125 38.5725
1.13194 38.701
1.13889 38.7749
1.14583 38.8123
1.15278 38.8123
1.15972 38.9074
1.16667 39.0602
1.17361 39.1435
1.18056 39.1622
1.1875 39.3069
1.19444 39.4244
1.20139 39.4281
1.20833 39.5842
1.21528 39.6225
1.22222 39.6474
1.22917 39.8117
1.23611 39.8117
1.24306 39.9557
1.25 40.0568
1.25694 40.0533
1.26389 40.1724
1.27083 40.1724
1.27778 40.2822
1.28472 40.4179
1.29167 40.5251
1.29861 40.5204
1.30556 40.6505
1.3125 40.8003
1.31944 40.8371
1.32639 40.8758
1.33333 41.0233
1.34028 41.1557
1.34722 41.1557
1.35417 41.1692
1.36111 41.1814
1.36806 41.2676
1.375 41.2676
1.38194 41.3565
1.38889 41.3818
1.39583 41.4245
1.40278 41.5164
