--stream .\stream-rmse-greedy-optimal-fine-to-coarse-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 12.9425
0.0138889 13.7576
0.0208333 14.4524
0.0277778 15.0957
0.0347222 16.2527
0.0416667 17.2603
0.0486111 18.3022
0.0555556 19.7485
0.0625 21.3829
0.0694444 22.2133
0.0763889 23.1286
0.0833333 23.3331
0.0902778 23.7268
0.0972222 24.0099
0.104167 24.2395
0.111111 24.6624
0.118056 24.8696
0.125 25.0776
0.131944 25.2574
0.138889 25.4644
0.145833 25.824
0.152778 25.9577
0.159722 26.1057
0.166667 26.3348
0.173611 26.4368
0.180556 26.838
0.1875 26.9894
0.194444 27.335
0.201389 27.579
0.208333 27.7589
0.215278 28.026
0.222222 28.1819
0.229167 28.3186
0.236111 28.5863
0.243056 28.7865
0.25 29.269
0.256944 29.6102
0.263889 29.9495
0.270833 30.3057
0.277778 30.6448
0.284722 31.003
0.291667 31.3871
0.298611 31.6567
0.305556 31.7454
0.3125 31.8374
0.319444 31.8766
0.326389 31.945
0.333333 32.0841
0.340278 32.2174
0.347222 32.4065
0.354167 32.4505
0.361111 32.6307
0.368056 32.677
0.375 32.8233
0.381944 32.8668
0.388889 33.01
0.395833 33.1642
0.402778 33.2586
0.409722 33.3579
0.416667 33.5391
0.423611 33.7418
0.430556 33.9355
0.4375 33.9929
0.444444 34.1508
0.451389 34.2043
0.458333 34.3673
0.465278 34.4508
0.472222 34.5433
0.479167 34.5904
0.486111 34.6297
0.493056 34.6778
0.5 34.7333
0.506944 34.7689
0.513889 34.7797
0.520833 34.8194
0.527778 34.8706
0.534722 34.952
0.541667 34.9524
0.548611 35.0266
0.555556 35.072
0.5625 35.1236
0.569444 35.1529
0.576389 35.1894
0.583333 35.225
0.590278 35.2667
0.597222 35.2997
0.604167 35.3535
0.611111 35.4096
0.618056 35.5451
0.625 35.5451
0.631944 35.5909
0.638889 35.6449
0.645833 35.706
0.652778 35.7137
0.659722 35.7419
0.666667 35.7987
0.673611 35.8028
0.680556 35.8313
0.6875 35.9275
0.694444 35.9368
0.701389 35.9825
0.708333 36.0408
0.715278 36.0408
0.722222 36.1093
0.729167 36.1156
0.736111 36.1436
0.743056 36.1936
0.75 36.2036
0.756944 36.2878
0.763889 36.3147
0.770833 36.4196
0.777778 36.4196
0.784722 36.5286
0.791667 36.5326
0.798611 36.5841
0.805556 36.6464
0.8125 36.728
0.819444 36.7501
0.826389 36.8459
0.833333 36.8602
0.840278 36.9668
0.847222 37.0217
0.854167 37.0355
0.861111 37.1427
0.868056 37.2532
0.875 37.2794
0.881944 37.3139
0.888889 37.3263
0.895833 37.3801
0.902778 37.4178
0.909722 37.4458
0.916667 37.5299
0.923611 37.6576
0.930556 37.6576
0.9375 37.7591
0.944444 37.8506
0.951389 37.8671
0.958333 38.0098
0.965278 38.0708
0.972222 38.1279
0.979167 38.1594
0.986111 38.2571
0.993056 38.3844
1 38.5122
1.00694 38.5122
1.01389 38.6019
1.02083 38.7379
1.02778 38.8056
1.03472 38.8445
1.04167 38.8752
1.04861 39.0107
1.05556 39.0443
1.0625 39.0791
1.06944 39.1401
1.07639 39.3
1.08333 39.3406
1.09028 39.408
1.09722 39.408
1.10417 39.4757
1.11111 39.4786
1.11806 39.585
1.125 39.5783
1.13194 39.6458
1.13889 39.6913
1.14583 39.8393
1.15278 39.8731
1.15972 39.9623
1.16667 40.0274
1.17361 40.0278
1.18056 40.1747
1.1875 40.1747
1.19444 40.2231
1.20139 40.2235
1.20833 40.3232
1.21528 40.319
1.22222 40.4171
1.22917 40.4134
1.23611 40.5264
1.24306 40.5264
1.25 40.6147
1.25694 40.6491
1.26389 40.7001
1.27083 40.8138
1.27778 40.8138
1.28472 40.882
1.29167 40.8797
1.29861 41.0033
1.30556 41.0033
1.3125 41.0749
1.31944 41.0779
1.32639 41.1087
1.33333 41.1961
1.34028 41.2782
1.34722 41.2782
1.35417 41.3413
1.36111 41.3413
1.36806 41.3847
1.375 41.3758
1.38194 41.4688
1.38889 41.5583
1.39583 41.6508
