--stream .\stream-rmse-greedy-optimal-miranda-viscosity.txt
--subsampling-factor 4
--dataset C:\Users\pavol\OneDrive\resolution-precision-test-data\miranda-viscosity-384x384-float64.json
--quantity rmse
--transform cdf53
--nlevels 3
--bits-quantize 16
--group-size 16 16 1

Bytes Errors 2448
0.00694444 12.9705
0.0138889 13.4147
0.0208333 13.8102
0.0277778 14.4402
0.0347222 15.4938
0.0416667 16.4715
0.0486111 17.3283
0.0555556 19.7175
0.0625 21.3829
0.0694444 22.2429
0.0763889 23.1286
0.0833333 23.3345
0.0902778 23.618
0.0972222 23.8667
0.104167 23.953
0.111111 24.1523
0.118056 24.4062
0.125 24.4706
0.131944 24.7912
0.138889 25.0123
0.145833 25.2845
0.152778 25.3682
0.159722 25.4717
0.166667 25.7811
0.173611 25.9287
0.180556 26.3849
0.1875 26.8391
0.194444 26.9611
0.201389 27.3791
0.208333 27.6154
0.215278 28.0814
0.222222 28.304
0.229167 28.5339
0.236111 28.8131
0.243056 29.115
0.25 29.2497
0.256944 29.5547
0.263889 29.8876
0.270833 30.1628
0.277778 30.1867
0.284722 30.5285
0.291667 30.9325
0.298611 31.3141
0.305556 31.6453
0.3125 31.6833
0.319444 31.9147
0.326389 31.965
0.333333 32.0346
0.340278 32.0828
0.347222 32.1588
0.354167 32.2796
0.361111 32.4276
0.368056 32.4631
0.375 32.4773
0.381944 32.5188
0.388889 32.6273
0.395833 32.7451
0.402778 32.7576
0.409722 32.7732
0.416667 32.9086
0.423611 32.9312
0.430556 33.0852
0.4375 33.1168
0.444444 33.2088
0.451389 33.2745
0.458333 33.4797
0.465278 33.6674
0.472222 33.8404
0.479167 34.0231
0.486111 34.2244
0.493056 34.3099
0.5 34.3741
0.506944 34.4233
0.513889 34.5373
0.520833 34.5779
0.527778 34.7679
0.534722 34.7874
0.541667 34.8169
0.548611 34.8762
0.555556 34.908
0.5625 34.908
0.569444 34.9746
0.576389 35.0213
0.583333 35.0226
0.590278 35.0748
0.597222 35.1186
0.604167 35.1224
0.611111 35.2303
0.618056 35.2595
0.625 35.2595
0.631944 35.2874
0.638889 35.4501
0.645833 35.4501
0.652778 35.4857
0.659722 35.5124
0.666667 35.5314
0.673611 35.5876
0.680556 35.633
0.6875 35.6333
0.694444 35.6997
0.701389 35.7558
0.708333 35.7558
0.715278 35.8177
0.722222 35.8196
0.729167 35.9208
0.736111 35.9208
0.743056 35.9451
0.75 35.9798
0.756944 35.9829
0.763889 35.9995
0.770833 36.0247
0.777778 36.0285
0.784722 36.0685
0.791667 36.1639
0.798611 36.1639
0.805556 36.2174
0.8125 36.2334
0.819444 36.2554
0.826389 36.2863
0.833333 36.308
0.840278 36.3486
0.847222 36.3675
0.854167 36.4338
0.861111 36.4338
0.868056 36.4549
0.875 36.4909
0.881944 36.4909
0.888889 36.5479
0.895833 36.5598
0.902778 36.5598
0.909722 36.6024
0.916667 36.6234
0.923611 36.6208
0.930556 36.6278
0.9375 36.6905
0.944444 36.7197
0.951389 36.777
0.958333 36.9002
0.965278 36.9563
0.972222 36.9868
0.979167 37.0147
0.986111 37.0698
0.993056 37.1125
1 37.1298
1.00694 37.2507
1.01389 37.3557
1.02083 37.441
1.02778 37.4607
1.03472 37.5347
1.04167 37.5315
1.04861 37.637
1.05556 37.7247
1.0625 37.7273
1.06944 37.8086
1.07639 37.8948
1.08333 38.0446
1.09028 38.1731
1.09722 38.3112
1.10417 38.4524
1.11111 38.5778
1.11806 38.6736
1.125 38.671
1.13194 38.7957
1.13889 38.8584
1.14583 38.8932
1.15278 39.0497
1.15972 39.0497
1.16667 39.1536
1.17361 39.2029
1.18056 39.2498
1.1875 39.2498
1.19444 39.3418
1.20139 39.3418
1.20833 39.4486
1.21528 39.5946
1.22222 39.63
1.22917 39.7264
1.23611 39.8443
1.24306 39.8469
1.25 39.9375
1.25694 39.9358
1.26389 39.9927
1.27083 40.0286
1.27778 40.1494
1.28472 40.2732
1.29167 40.4026
1.29861 40.4026
1.30556 40.5047
1.3125 40.5047
1.31944 40.5167
1.32639 40.7992
1.33333 40.9009
1.34028 40.9195
1.34722 41.0533
1.35417 41.1097
1.36111 41.1169
1.36806 41.1125
1.375 41.1643
1.38194 41.1752
1.38889 41.1748
1.39583 41.2341
